"MS2 热像深度 · 实测指标 (test 16-08-46, 2543帧, 官方BMSD协议)"
"rgb视角与thr视角不可比大小; AnyThermal用ssi对齐, 其余用ssi_disparity"

模型,输入,训练损失,推理时的prompt,GT视角,对齐空间,val AbsRel,test AbsRel,test RMSE,test δ1,备注
零训练直推 (RGB),RGB,无(全程冻结),空,rgb,ssi_disparity,,0.1641,6.588,0.7510,
a 线,RGB,深度损失,空,rgb,ssi_disparity,0.0791,0.0844,3.827,0.9269,
零训练直推 (热像),Thermal,无(全程冻结),空,thr,ssi_disparity,,0.1762,6.331,0.7012,
b 线,Thermal,深度损失,空,thr,ssi_disparity,0.0775,0.0884,3.956,0.9071,
b + caption 训练,Thermal,深度损失,空,thr,ssi_disparity,0.0780,0.0869,,,RMSE/δ1 未抄录
b + caption 训练,Thermal,深度损失,真 caption,thr,ssi_disparity,,0.0882,,,RMSE/δ1 未抄录
b + 天空损失,Thermal,深度损失 + 天空损失,空,thr,ssi_disparity,,0.0897,3.966,0.9058,5-epoch调度
b + caption + 排序损失,Thermal,深度损失 + caption排序损失,空,thr,ssi_disparity,,0.0907,4.061,0.9014,5-epoch调度; 无天空损失
b + caption + 排序损失,Thermal,深度损失 + caption排序损失,真 caption,thr,ssi_disparity,0.0797,0.0926,4.152,0.8987,5-epoch调度; 无天空损失
b + caption + 排序损失,Thermal,深度损失 + caption排序损失,打乱 caption,thr,ssi_disparity,,0.0940,4.197,0.8971,5-epoch调度; 无天空损失
c1,Thermal,深度损失,空,thr,ssi_disparity,0.1127,0.1217,5.465,0.8365,
c2,Thermal,深度损失,空,thr,ssi_disparity,0.0932,0.1013,4.418,0.8826,
c2 + caption 训练,Thermal,深度损失,空,thr,ssi_disparity,0.0923,0.1030,,,RMSE/δ1 未抄录
c2 + caption 训练,Thermal,深度损失,真 caption,thr,ssi_disparity,,0.1022,,,RMSE/δ1 未抄录
d1,Thermal,深度损失,空,thr,ssi_disparity,0.0860,0.0973,4.432,0.8883,
d2,Thermal,深度损失,空,thr,ssi_disparity,0.0815,0.0903,3.855,0.9086,
d2 + caption 训练,Thermal,深度损失,空,thr,ssi_disparity,0.0825,0.0876,,,RMSE/δ1 未抄录
d2 + caption 训练,Thermal,深度损失,真 caption,thr,ssi_disparity,,0.0881,,,RMSE/δ1 未抄录
原版 AnyThermal,Thermal,(外部模型),—,thr,ssi,,0.0821,,,RMSE/δ1 未抄录; 论文Table IV报0.0883
